No,警編,分局,所別,里別,名稱
1,KC100G0050,三民一分局,十全所,達仁里,松江街55號前
2,KC100G0051,三民一分局,十全所,達仁里,九如二路、松江街口
3,KC100G0052,三民一分局,十全所,達仁里,九如二路326號前
4,KC100G0053,三民一分局,十全所,達仁里,九如二路326號前
5,KC100G0054,三民一分局,十全所,達仁里,九如二路、博愛一路口
6,KC100G0055,三民一分局,十全所,達仁里,大連街68號前
7,KC100G0056,三民一分局,十全所,達仁里,松江街、遼寧一街口
8,KC100G0057,三民一分局,十全所,達仁里,松江街、遼寧一街口
9,KC100G0058,三民一分局,十全所,達仁里,遼寧一街、大連街口(大連街96號前)
10,KC100G0059,三民一分局,十全所,達仁里,遼寧一街、大連街口(遼寧一街399號旁)
11,KC100G0060,三民一分局,十全所,達仁里,遼寧一街、吉林街口(吉林街95號旁)
12,KC100G0061,三民一分局,十全所,達仁里,瀋陽街、遼寧一街口(瀋陽街83號旁)
13,KC100G0062,三民一分局,十全所,達仁里,瀋陽街79號前
14,KC100G0063,三民一分局,十全所,達仁里,撫順街、瀋陽街口(瀋陽街57號前)
15,KC100G0064,三民一分局,十全所,達仁里,九如二路206號前
16,KC100G0065,三民一分局,十全所,達仁里,九如二路、吉林街口(九如二路232號前)
17,KC100G0066,三民一分局,十全所,達勇里,安寧街422巷、安寧街口
18,KC100G0067,三民一分局,十全所,達勇里,安寧街、大連街口
19,KC100G0068,三民一分局,十全所,達勇里,恆豐街、大連街口
20,KC100G0069,三民一分局,十全所,達勇里,恆豐街、大連街口(恆豐街171號前)
21,KC100G0070,三民一分局,十全所,達勇里,安寧街311巷2弄15號前
22,KC100G0071,三民一分局,十全所,達勇里,九如二路、吉林街口
23,KC100G0072,三民一分局,十全所,達勇里,大連、安寧街口
24,KC100G0073,三民一分局,十全所,達勇里,大連、安寧街口
25,KC100G0074,三民一分局,十全所,達勇里,大連街1號前
26,KC100G0075,三民一分局,十全所,達勇里,安寧街356號前
27,KC100G0076,三民一分局,十全所,達勇里,九如、松江路口
28,KC100G0077,三民一分局,十全所,達勇里,九如、大連街口
29,KC100G0078,三民一分局,十全所,達勇里,九如、吉林街口(高照星皮膚科診所旁)
30,KC100G0079,三民一分局,十全所,達勇里,瀋陽街13號前
31,KC100G0080,三民一分局,十全所,達勇里,九如、瀋陽街口
32,KC100G0081,三民一分局,十全所,達勇里,松江街、安寧街口
33,KC100G0082,三民一分局,十全所,同德里,山東街126巷
34,KC100G0083,三民一分局,十全所,同德里,泰安街、山東街口(面對安生教會右側)
35,KC100G0084,三民一分局,十全所,同德里,泰安街、孝順街口
36,KC100G0085,三民一分局,十全所,同德里,民族一路87巷口(孝順街70號前)
37,KC100G0086,三民一分局,十全所,同德里,承德街62號前
38,KC100G0087,三民一分局,十全所,同德里,孝順街61號前
39,KC100G0088,三民一分局,十全所,同德里,孝順街47巷口
40,KC100G0089,三民一分局,十全所,同德里,孝順街26號前
41,KC100G0090,三民一分局,十全所,同德里,遼寧一街22號前
42,KC100G0091,三民一分局,十全所,同德里,民族一路53號旁(民族路、九如路口)
43,KC100G0092,三民一分局,十全所,同德里,民族一路39巷旁
44,KC100G0093,三民一分局,十全所,同德里,民族一路19巷口
45,KC100G0094,三民一分局,十全所,同德里,九如二路13巷、九如二路口
46,KC100G0095,三民一分局,十全所,同德里,孝順街5巷、山東街口
47,KC100G0096,三民一分局,十全所,同德里,孝順街23巷與孝順街
48,KC100G0097,三民一分局,十全所,同德里,孝順街、旅順街口(孝順街8號前)
49,KC100G0098,三民一分局,十全所,同德里,三民區遼寧一街、山東街口(山東街51號旁)
50,KC100G0099,三民一分局,十全所,同德里,山東街52號旁
51,KC100G0100,三民一分局,十全所,同德里,山東街39號旁
52,KC100G0101,三民一分局,十全所,同德里,九如二路13巷、九如二路口(九如二路85號旁)
53,KC100G0102,三民一分局,十全所,同德里,山東街、承德街口(中油加油站前)
54,KC100G0103,三民一分局,十全所,同德里,山東街、孝順街73巷口(山東街100號旁)
55,KC100G0104,三民一分局,十全所,同德里,山東街、熱河一街口(山東街110號旁)
56,KC100G0105,三民一分局,十全所,同德里,山東街、熱河一街口(山東街112號旁)
57,KC100G0106,三民一分局,十全所,同德里,孝順街125巷、山東街口(面對安生教會左側路口)
58,KC100G0107,三民一分局,十全所,同德里,熱河一街、孝順街口
59,KC100G0108,三民一分局,十全所,同德里,熱河一街、孝順街口(孝順街85號旁)
60,KC100G0109,三民一分局,十全所,同德里,承德街、孝順街口(孝順街54號旁)
61,KC100G0110,三民一分局,十全所,同德里,承德街、孝順街口(孝順街61號旁)
62,KC100G0111,三民一分局,十全所,同德里,孝順街73巷、孝順街口
63,KC100G0112,三民一分局,十全所,同德里,民族一路87巷、民族一路口
64,KC100G0113,三民一分局,十全所,同德里,孝順街5巷、孝順街口(孝順街5號旁)
65,KC101A0961,三民一分局,十全所,達仁里,九如路、松江街 / 向北
66,KC101A0962,三民一分局,十全所,達仁里,遼寧街、松江街 / 向南
67,KC101A0963,三民一分局,十全所,達仁里,九如路、大連街 / 向北
68,KC101A0964,三民一分局,十全所,達仁里,遼寧街、大連街 / 向南
69,KC101A0965,三民一分局,十全所,達仁里,九如路、吉林街 / 向北
70,KC101A0966,三民一分局,十全所,達仁里,遼寧街、吉林街 / 向南
71,KC101A0967,三民一分局,十全所,達仁里,松江街33巷11號 / 向北
72,KC101A0968,三民一分局,十全所,達仁里,九如二路318號前 / 向西
73,KC101A0969,三民一分局,十全所,達仁里,松江街、撫順街   / 向東
74,KC101A0970,三民一分局,十全所,達仁里,大連街79巷、松江街 / 向東
75,KC101A0971,三民一分局,十全所,達仁里,吉林街57巷、大連街 / 向東
76,KC101A0972,三民一分局,十全所,達仁里,大連街68號前 / 向北
77,KC101A0973,三民一分局,十全所,達仁里,吉林街83巷、大連街     / 向東
78,KC101A0974,三民一分局,十全所,達仁里,瀋陽街45巷口、瀋陽街 / 向西
79,KC101A0975,三民一分局,十全所,達仁里,博愛一路10號前 / 向北
80,KC101A0976,三民一分局,十全所,達仁里,瀋陽街57號前     / 向南
81,KC101A0977,三民一分局,十全所,達勇里,九如二路、松江街口 / 向東
82,KC101A0978,三民一分局,十全所,達勇里,松江街、安寧街口(照安寧街) / 向東
83,KC101A0979,三民一分局,十全所,達勇里,安寧街(照恆豐街)      / 向南
84,KC101A0980,三民一分局,十全所,達勇里,九如二路、大連街口 / 向南
85,KC101A0981,三民一分局,十全所,達勇里,大連街、大連街9巷口   / 向西
86,KC101A0982,三民一分局,十全所,達勇里,大連街、吉林街35巷口 / 向東
87,KC101A0983,三民一分局,十全所,達勇里,恆豐街、大連街口 / 向北
88,KC101A0984,三民一分局,十全所,達勇里,九如二路、吉林街 / 向南
89,KC101A0985,三民一分局,十全所,達勇里,吉林街、安寧街口 / 向西
90,KC101A0986,三民一分局,十全所,達勇里,吉林街、安寧街口 / 向西
91,KC101A0987,三民一分局,十全所,達勇里,恆豐街、吉林街口 / 向北
92,KC101A0988,三民一分局,十全所,達勇里,九如二路、瀋陽街口 / 向南
93,KC101A0989,三民一分局,十全所,達勇里,瀋陽街35巷 / 向西
94,KC101A0990,三民一分局,十全所,達勇里,瀋陽街、安寧街口 / 向西
95,KC101A0991,三民一分局,十全所,達勇里,安寧街311巷口 / 向南
96,KC101A0992,三民一分局,十全所,達勇里,瀋陽街、龍江街口 / 向北
97,KC101A0993,三民一分局,十全所,德仁里,龍江街47巷、龍江街口 / 向西
98,KC101A0994,三民一分局,十全所,德仁里,龍江街15巷口 / 向東
99,KC101A0995,三民一分局,十全所,德仁里,龍江街、瀋陽街2號口 / 向東
100,KC101A0996,三民一分局,十全所,德仁里,撫順街、瀋陽街口     / 向東
101,KC101A0997,三民一分局,十全所,德仁里,遼寧一街、瀋陽街口 / 向東
102,KC101A0998,三民一分局,十全所,德仁里,自由一路、撫順街口 / 向南
103,KC101A0999,三民一分局,十全所,德仁里,遼寧一街、自由一路口   / 向南
104,KC101A1000,三民一分局,十全所,德仁里,自由一路、自由一路8巷 / 向北
105,KC101A1001,三民一分局,十全所,德仁里,自由一路、自由一路8巷 / 向西
106,KC101A1002,三民一分局,十全所,德仁里,遼寧一街、自由一路8巷 / 向南
107,KC101A1003,三民一分局,十全所,德仁里,遼寧一街、龍江街   / 向南
108,KC101A1004,三民一分局,十全所,德仁里,龍江街、九如二路   / 向北
109,KC101A1005,三民一分局,十全所,德仁里,遼寧一街143巷42號 / 向北
110,KC101A1006,三民一分局,十全所,德仁里,遼寧一街144巷、遼寧一街口 / 向南
111,KC101A1007,三民一分局,十全所,德仁里,山東街37巷、山東街口 / 向西
112,KC101A1008,三民一分局,十全所,德仁里,青島路、旅順街     / 向東
113,KC101D0446,三民一分局,十全所,安東里,吉林街243號旁
114,KC101D0447,三民一分局,十全所,安東里,吉林街244號旁(吉林街、合江街13巷口)
115,KC101D0448,三民一分局,十全所,安東里,吉林街268號旁(向東)
116,KC101D0449,三民一分局,十全所,安東里,吉林街265號旁(吉林街、吉林街265巷口)
117,KC101D0450,三民一分局,十全所,安東里,吉林街292號旁(吉林街、歸綏街口)
118,KC101D0451,三民一分局,十全所,安東里,吉林街285號旁巷內
119,KC101D0452,三民一分局,十全所,安東里,吉林街312號旁
120,KC101D0453,三民一分局,十全所,安東里,吉林街297號旁
121,KC101D0454,三民一分局,十全所,安東里,吉林街309號前(北平一路、吉林街口)
122,KC101D0455,三民一分局,十全所,安東里,吉林街330號旁(合江街、吉林街107巷口)
123,KC101D0456,三民一分局,十全所,安東里,吉林街347號旁
124,KC101D0457,三民一分局,十全所,安東里,合江街84號旁(合江街、合江街86巷口)
125,KC101D0458,三民一分局,十全所,安東里,北平一街18巷7號前
126,KC101D0459,三民一分局,十全所,安東里,吉林街306號前
127,KC101D0460,三民一分局,十全所,安東里,歸綏街98號旁(歸綏街、吉林街口)
128,KC101D0461,三民一分局,十全所,安東里,合江街3號前
129,KC101D0462,三民一分局,十全所,達明里,熱河一街450巷1號前
130,KC101D0463,三民一分局,十全所,達明里,熱河一街450巷41號前
131,KC101D0464,三民一分局,十全所,達明里,松江街205號前
132,KC101D0465,三民一分局,十全所,達明里,松江街193號前(松江、永吉街)
133,KC101D0466,三民一分局,十全所,達明里,松江街182號旁
134,KC101D0467,三民一分局,十全所,達明里,大連街200號旁
135,KC101D0468,三民一分局,十全所,達明里,大連街192號前(永吉、大連街)
136,KC101D0469,三民一分局,十全所,達明里,大連街151號旁
137,KC101D0470,三民一分局,十全所,達明里,吉林街163號前
138,KC101D0471,三民一分局,十全所,達明里,吉林街153號前(吉林、永吉街)
139,KC101D0472,三民一分局,十全所,達明里,吉林街133號前(吉林、熱河街)
140,KC101D0473,三民一分局,十全所,達明里,十全一路345號前(吉林、十全路)
141,KC101D0474,三民一分局,十全所,達明里,十全一路237號前(吉林、十全路)
142,KC101D0475,三民一分局,十全所,達明里,十全一路347號前(吉林、十全路)
143,KC101D0476,三民一分局,十全所,達明里,熱河一街356號前(吉林、熱河街)
144,KC101D0477,三民一分局,十全所,達明里,熱河一街352號前
145,KC101D0478,三民一分局,十全所,安和里,博仁街13號旁
146,KC101D0479,三民一分局,十全所,安和里,博仁街14號旁
147,KC101D0480,三民一分局,十全所,安和里,察哈爾一街、博愛路口(大眾銀行旁路燈桿)
148,KC101D0481,三民一分局,十全所,安和里,綏遠一街167巷1號旁
149,KC101D0482,三民一分局,十全所,安和里,北平一街171號旁
150,KC101D0483,三民一分局,十全所,安和里,北平一街158號旁(松江街、北平一街口)
151,KC101D0484,三民一分局,十全所,安和里,大連街396號旁
152,KC101D0485,三民一分局,十全所,安和里,松江街414號旁
153,KC101D0486,三民一分局,十全所,安和里,松江街426號旁
154,KC101D0487,三民一分局,十全所,安和里,大連街320號前(大連街、北平一街口)
155,KC101D0488,三民一分局,十全所,安和里,大連街317號旁
156,KC101D0489,三民一分局,十全所,安和里,大連街291號旁
157,KC101D0490,三民一分局,十全所,安和里,大連街282號前(大連街、綏遠一街口)
158,KC101D0491,三民一分局,十全所,安和里,大連街269號旁(向西)
159,KC101D0492,三民一分局,十全所,安和里,松江街348號前(松江街、綏遠一街口)
160,KC101D0493,三民一分局,十全所,安和里,松江街259號對面
161,KC101H0391,三民一分局,十全所,達德里,遼寧一街與松江街口
162,KC101H0392,三民一分局,十全所,達德里,熱河一街與松江街口松江街161號(南統眼鏡行)前
163,KC101H0393,三民一分局,十全所,達德里,大連街與熱河一街口大連街135號(雨田美食坊)前
164,KC101H0394,三民一分局,十全所,達德里,大連街與熱河一街口大連街168號(棗子樹)前
165,KC101H0395,三民一分局,十全所,達德里,熱河一街與吉林街口熱河一街355號前
166,KC101H0396,三民一分局,十全所,達德里,熱河一街與吉林街口熱河一街353-2號(翔一便利超商)前
167,KC101H0397,三民一分局,十全所,達德里,熱河一街與瀋陽街口熱河一街224號前
168,KC101H0398,三民一分局,十全所,達德里,瀋陽街117號旁
169,KC101H0399,三民一分局,十全所,同德里,九如二路38號旁
170,KC101H0400,三民一分局,十全所,同德里,孝順街14號前
171,KC101H0401,三民一分局,十全所,同德里,民族一路63巷16號前
172,KC101H0402,三民一分局,十全所,同德里,熱河一街46號前
173,KC101H0403,三民一分局,十全所,同德里,孝順街、遼寧一街口
174,KC101H0404,三民一分局,十全所,同德里,孝順街109號對面
175,KC101H0405,三民一分局,十全所,同德里,十全一路、山東街口
176,KC101H0406,三民一分局,十全所,同德里,十全一路、山東街口
177,KC101H0407,三民一分局,十全所,達明里,十全一路465號前
178,KC101H0408,三民一分局,十全所,達明里,十全一路409號前
179,KC101H0409,三民一分局,十全所,達明里,博愛一路150號前
180,KC101H0410,三民一分局,十全所,達明里,十全一路393號前
181,KC101H0411,三民一分局,十全所,達明里,十全一路與大連街口(北側)
182,KC101H0412,三民一分局,十全所,達明里,十全一路與吉林街口(東南角)
183,KC101H0413,三民一分局,十全所,達明里,十全一路221號前
184,KC101H0414,三民一分局,十全所,達明里,十全一路與瀋陽街口(西南角)
185,KC101H0415,三民一分局,十全所,達明里,瀋陽街161號前
186,KC101H0416,三民一分局,十全所,達明里,永吉街30號前
187,KC101H0417,三民一分局,十全所,達明里,瀋陽街145巷口
188,KC101H0418,三民一分局,十全所,達明里,熱河一街與瀋陽街(西北角)
189,KC101H0419,三民一分局,十全所,達明里,瀋陽街133號前
190,KC101H0420,三民一分局,十全所,達明里,熱河一街400號旁
191,KC101H0421,三民一分局,十全所,達明里,熱河一街430號前
192,KC101H0422,三民一分局,十全所,達明里,熱河一街452號前
193,KC101J0055,三民一分局,十全所,安生里,自忠街26號旁(路燈桿編號009725)
194,KC101J0056,三民一分局,十全所,安生里,十全一路36巷31號旁(路燈桿編號009723)
195,KC101J0057,三民一分局,十全所,安生里,民族一路與晉元街口(雙向路燈桿)(路燈桿編號013472)
196,KC101J0058,三民一分局,十全所,安生里,十全一路2號前(路燈桿編號009588)
197,KC101J0059,三民一分局,十全所,安生里,十全一路52號前(路燈桿編號009591)
198,KC101J0060,三民一分局,十全所,安生里,十全一路74-1號前
199,KC101J0061,三民一分局,十全所,安生里,晉元街80號旁(高醫圍牆旁)(路燈桿編號009756)
200,KC101J0062,三民一分局,十全所,安生里,察哈爾一街35號前(高醫圍牆旁)(路燈桿編號009762)
201,KC101J0063,三民一分局,十全所,安生里,同盟一路與十全一路94巷口前
202,KC101J0064,三民一分局,十全所,安生里,同盟一路的高醫校門口對面
203,KC101J0065,三民一分局,十全所,安生里,同盟一路與孝順街口前
204,KC101J0066,三民一分局,十全所,安生里,同盟一路61號前
205,KC101J0067,三民一分局,十全所,安生里,孝順街412巷2弄5號前
206,KC101J0068,三民一分局,十全所,安生里,民族一路157-2號的永祥汽車商行前機車道
207,KC101J0069,三民一分局,十全所,安生里,自忠街43號旁(路燈桿編號009738)
208,KC101J0070,三民一分局,十全所,安生里,山東街168號前
209,KC102D0075,三民一分局,十全所,德智里,瀋陽街98號旁(路燈桿編號OO8694)
210,KC102D0076,三民一分局,十全所,德智里,瀋陽街114號旁(路燈桿編號OO8690)
211,KC102D0077,三民一分局,十全所,德智里,瀋陽街148號旁(路燈桿編號OO8839)
212,KC102D0078,三民一分局,十全所,德智里,瀋陽街160號旁(路燈桿編號OO9424)
213,KC102D0079,三民一分局,十全所,德智里,瀋陽街174號旁(路燈桿編號OO8686)
214,KC102D0080,三民一分局,十全所,德智里,青島街與熱河街132巷(家樂福旁牆柱上)
215,KC102D0081,三民一分局,十全所,德智里,泰安街與青島街口(路燈桿編號OO9081)
216,KC102D0082,三民一分局,十全所,德智里,山東街131號前(路燈桿編號OO9801)
217,KC102D0083,三民一分局,十全所,德智里,山東街115號前(路燈桿編號OO9037)
218,KC102D0084,三民一分局,十全所,德智里,山東街91巷與青島街口(路燈桿編號OO9077)
219,KC102D0085,三民一分局,十全所,德智里,承德街與青島街口(路燈桿編號OO9076)
220,KC102D0086,三民一分局,十全所,德智里,青島街56號旁(路燈桿編號OO9051)
221,KC102D0087,三民一分局,十全所,德智里,遼寧一街146號旁(路燈桿編號OO9415)
222,KC102D0088,三民一分局,十全所,德智里,熱河一街146號旁
223,KC102D0089,三民一分局,十全所,德智里,熱河一街145號旁
224,KC102D0090,三民一分局,十全所,德智里,自由一路與熱河一街口(東南角)
225,KC102D0091,三民一分局,十全所,德仁里,龍江街47巷22號旁(路燈桿編號009122)
226,KC102D0092,三民一分局,十全所,德仁里,龍江街47巷22號旁(路燈桿編號009122)
227,KC102D0093,三民一分局,十全所,德仁里,九如二路與瀋陽街口(東南角)
228,KC102D0094,三民一分局,十全所,德仁里,自由一路46號前(東南角)
229,KC102D0095,三民一分局,十全所,德仁里,自由一路14號前(路燈桿編號008573)
230,KC102D0096,三民一分局,十全所,德仁里,自由一路14號前(路燈桿編號008573)
231,KC102D0097,三民一分局,十全所,德仁里,自由一路與遼寧一街口(東北角)
232,KC102D0098,三民一分局,十全所,德仁里,遼寧一街161號前
233,KC102D0099,三民一分局,十全所,德仁里,青島街與遼寧一街(西南角)
234,KC102D0100,三民一分局,十全所,德仁里,山東街49號前(路燈桿編號009053)
235,KC102D0101,三民一分局,十全所,德仁里,山東街51號旁
236,KC102D0102,三民一分局,十全所,德仁里,青島街與山東街37巷口(路燈桿編號009057)
237,KC102D0103,三民一分局,十全所,德仁里,青島街5號前(路燈桿編號009070)
238,KC102D0104,三民一分局,十全所,德仁里,九如二路與青島街(上海素食旁)(路燈桿編號009069)
239,KC102D0105,三民一分局,十全所,德仁里,遼寧一街143巷42號旁(路燈桿編號009413)
240,KC102D0106,三民一分局,十全所,德仁里,九如二路與龍江街口(九如二路138號前)
241,KC98C0156,三民一分局,十全所,同德里,九如一路、民族一路口(向東)
242,KC98C0157,三民一分局,十全所,同德里,九如一路、民族一路口(向西)
243,KC98C0158,三民一分局,十全所,同德里,九如一路、民族一路口(向北)
244,KC98C0159,三民一分局,十全所,德仁里,九如一路、民族一路口(向北)
245,KC98C0160,三民一分局,十全所,安東里,自由一路、同盟一路口(向南)
246,KC98C0161,三民一分局,十全所,安東里,自由一路、同盟一路口(向北)
247,KC98C0162,三民一分局,十全所,安東里,自由一路、同盟一路口(向北)
248,KC98C0163,三民一分局,十全所,安生里,民族一路、同盟一路口(向西)
249,KC98C0164,三民一分局,十全所,安生里,民族一路、建工路口(向北)
250,KC98C0165,三民一分局,十全所,安生里,民族一路、同盟一路口(向東)(104維)
251,KC98C0422,三民一分局,十全所,德智里,十全一路、自由一路口(向南)
252,KC98C0423,三民一分局,十全所,德智里,十全一路、自由一路口(向西)
253,KC98C0424,三民一分局,十全所,德智里,十全一路、自由一路口(向北)(104維)
254,KC98C0425,三民一分局,十全所,德智里,十全一路、自由一路口(向東)(104維)
255,KC98C0426,三民一分局,十全所,同德里,九如二路、自由一路口(向東)
256,KC98C0427,三民一分局,十全所,德仁里,九如二路、自由一路口(向東)
257,KC98C0428,三民一分局,十全所,德仁里,九如二路、自由一路口(向西)
258,KC98C0429,三民一分局,十全所,德仁里,九如二路、自由一路口(向北)
259,KC98C1173,三民一分局,十全所,達仁里,博愛1路、遼寧1街口(向東)(105維)
260,KC98C1174,三民一分局,十全所,達仁里,博愛1路30號(向北)
261,KC98C1175,三民一分局,十全所,達仁里,松江街33巷、遼寧1街口(向北)
262,KC98C1176,三民一分局,十全所,同德里,熱河1街、遼寧1街456巷口(向南)
263,KC98C1177,三民一分局,十全所,達仁里,遼寧1街、松江街口(向北)
264,KC98C1178,三民一分局,十全所,達德里,熱河一街、博愛一路口(向東)(105維)
265,KC98C1179,三民一分局,十全所,達仁里,遼寧一街、大連街口(向西)
266,KC98C1180,三民一分局,十全所,達明里,熱河1街、大連街口(向南)
267,KC98C1181,三民一分局,十全所,達德里,遼寧1街、吉林街口(向北)(104蘇維)
268,KC98C1182,三民一分局,十全所,達德里,熱河1街、吉林街口(向南)
269,KC98C1183,三民一分局,十全所,達德里,遼寧1街、瀋陽街口(向北)
270,KC98C1184,三民一分局,十全所,達德里,遼寧1街、瀋陽街口(向西)
271,KC98C1186,三民一分局,十全所,達德里,吉林街、瀋陽街115巷口(向西)
272,KC98C1188,三民一分局,十全所,達德里,大連街、吉林街121巷(向西)
273,KC98C1191,三民一分局,十全所,德智里,瀋陽街、朝陽街口(向東)
274,KC98C1193,三民一分局,十全所,達仁里,吉林街、朝陽街口(向東)
275,KC98C1194,三民一分局,十全所,達仁里,吉林街、朝陽街口(向西)
276,KC98C1195,三民一分局,十全所,達勇里,大連街、朝陽街口(向西)
277,KC98C1196,三民一分局,十全所,達勇里,大連街、朝陽街口(向東)
278,KC98C1198,三民一分局,十全所,達德里,瀋陽街99巷口(向西)
279,KC98C1199,三民一分局,十全所,達德里,吉林街、瀋陽街99巷口(向東)
280,KC98C1200,三民一分局,十全所,達德里,吉林街99巷口(向西)
281,KC98C1204,三民一分局,十全所,德仁里,撫順街、吉林街口(向南)
282,KC98C1237,三民一分局,十全所,達仁里,撫順街、吉林街口(向東)
283,KC98C1238,三民一分局,十全所,達仁里,瀋陽街71巷、吉林街口(向西)
284,KC98C1239,三民一分局,十全所,達仁里,撫順街、吉林街口(向西)
285,KC98C1240,三民一分局,十全所,達仁里,吉林街83巷口(向東)
286,KC98C1241,三民一分局,十全所,達仁里,撫順街、瀋陽街口(向西)
287,KC98C1243,三民一分局,十全所,達仁里,瀋陽街、遼寧1街口(向南)
288,KC98C1245,三民一分局,十全所,達仁里,撫順街、大連街口(向西)
289,KC98C1246,三民一分局,十全所,達仁里,撫順街、大連街口(向東)
290,KC98C1248,三民一分局,十全所,達仁里,吉林街83巷、大連街口(向西)
291,KC98C1249,三民一分局,十全所,達仁里,吉林街、九如二路口(向北)
292,KC98C1258,三民一分局,十全所,達仁里,九如2路276號、大連街口(向西)
293,KC98C1259,三民一分局,十全所,達仁里,吉林街57巷、大連街口(向西)
294,KC98C1265,三民一分局,十全所,達仁里,吉林街、遼寧1街口(向西)(105維)
295,KC98C1266,三民一分局,十全所,達仁里,大連街、遼寧1街口(向東)
296,KC98C1267,三民一分局,十全所,達仁里,吉林街、遼寧1街口(向東)(105維)
297,KC98C1268,三民一分局,十全所,達仁里,大連街、遼寧1街口(向北)
298,KC98E3633,三民一分局,十全所,達明里,瀋陽街171巷與瀋陽街口(向西)(104維)
299,KC98E3634,三民一分局,十全所,達明里,瀋陽街與永吉街30號前(向西)(105維)
300,KC98E3642,三民一分局,十全所,達明里,松江街205號邊(向西)(105維)
301,KC98E3643,三民一分局,十全所,達明里,熱河一街與博愛路口(向北)
302,KC98E3644,三民一分局,十全所,達明里,熱河一街與松江街口(向北)
303,KC98E3649,三民一分局,十全所,達德里,瀋陽街99巷2號前(向東)(104維)
304,KC98E3650,三民一分局,十全所,達德里,遼寧一街340號前(向西)
305,KC98E3651,三民一分局,十全所,達德里,朝陽街126號邊(向東)
306,KC98E3652,三民一分局,十全所,達德里,遼寧一街354號前(向西)
307,KC98E3653,三民一分局,十全所,達德里,瀋陽街111-1號邊(向西)
308,KC98E3659,三民一分局,十全所,達德里,大連街154號邊(向東)
309,KC98E3660,三民一分局,十全所,達德里,吉林街與朝陽街口(向南)
310,KC98E3661,三民一分局,十全所,達德里,松江街161號邊(向南)
311,KC98E3662,三民一分局,十全所,達德里,松江街95號前(向北)
312,KC98E3663,三民一分局,十全所,達德里,瀋陽街與瀋陽街115巷交叉(向東)
313,KC98E3664,三民一分局,十全所,達德里,遼寧一街456巷31號邊(向北)
314,KC98E3665,三民一分局,十全所,德智里,自由一路135號邊(向西)(104維)(104民維)
315,KC98E3666,三民一分局,十全所,德智里,自由一路125號邊(向西)(104民維)
316,KC98E3667,三民一分局,十全所,德智里,自由一路113號邊(向西)(104民維)
317,KC98E3668,三民一分局,十全所,德智里,自由一路85巷2之1號邊(向西)(104民維)
318,KC98E3669,三民一分局,十全所,德智里,朝陽街2號前(向西)(104民維)
319,KC98E3670,三民一分局,十全所,德智里,自由一路59巷與自由一路口(向西)(104民維)
320,KC98E3671,三民一分局,十全所,德智里,十全一路與龍江街口(向南)(104民維)
321,KC98E3672,三民一分局,十全所,德智里,熱河一街135號邊(向南)(104民維)
322,KC98E3673,三民一分局,十全所,德智里,熱河一街132巷8號前(向北)(104維)(104民維)
323,KC98E3674,三民一分局,十全所,德智里,山東街與山東街143巷口(向西)(104民維)
324,KC98E3675,三民一分局,十全所,德智里,青島街熱河一街132巷口(向南)(104民維)
325,KC98E3676,三民一分局,十全所,德智里,山東街115號前(向南)(104民維)
326,KC98E3677,三民一分局,十全所,德智里,山東街91巷2號邊(向西)(104民維)
327,KC98E3678,三民一分局,十全所,德智里,承德街110號邊(向西)(104民維)
328,KC98E3679,三民一分局,十全所,德智里,山東街65巷2號邊(向西)(104民維)
329,KC98E3680,三民一分局,十全所,德智里,熱河一街160巷1號邊(向北)(104民維)
330,KC98E3681,三民一分局,十全所,同德里,十全一路1號前(向東)(104蘇維)
331,KC98E3682,三民一分局,十全所,同德里,熱河一街與民族路口(向西)(105維)
332,KC98E3683,三民一分局,十全所,同德里,承德街與民族路口(向西)
333,KC98E3690,三民一分局,十全所,同德里,熱河一街72號前(向西)(105維)
334,KC98E3694,三民一分局,十全所,同德里,旅順街與山東街口(向南)
335,KC98E3697,三民一分局,十全所,安和里,博仁街12號前(向西)(104蘇維)
336,KC98E3698,三民一分局,十全所,安和里,博愛一路與察哈爾街口(向北)(105維)
337,KC98E3699,三民一分局,十全所,安和里,綏遠一街160號前(向西)
338,KC98E3700,三民一分局,十全所,安和里,博愛一路與北平一街口(向東)
339,KC98E3701,三民一分局,十全所,安和里,同盟一路與北平一街172巷口(向南)
340,KC98E3702,三民一分局,十全所,安和里,松江街與北安街口(向北)
341,KC98E3703,三民一分局,十全所,安和里,大連街360號前(向北)
342,KC98E3704,三民一分局,十全所,安和里,大連街350號邊(向西)
343,KC98E3705,三民一分局,十全所,安和里,大連街與北平一街口(向西)(104蘇維)
344,KC98E3706,三民一分局,十全所,安和里,大連街與歸綏街口(向西)(105維)
345,KC98E3707,三民一分局,十全所,安和里,大連街與綏遠一街口(向西)
346,KC98E3708,三民一分局,十全所,安和里,大連街與萬全街口(向西)
347,KC98E3709,三民一分局,十全所,安和里,大連街243號邊(向西)
348,KC98E3711,三民一分局,十全所,安和里,察哈爾一街與松江街口(向北)
349,KC98E3712,三民一分局,十全所,安和里,十全一路與松江街口(向北)
350,KC98E3713,三民一分局,十全所,安生里,十全一路與十全一路94巷口(向北)(104蘇維)
351,KC98E3714,三民一分局,十全所,安生里,十全一路94巷與察哈爾一街口(向南)(105維)
352,KC98E3715,三民一分局,十全所,安生里,十全一路94巷與察哈爾一街口(向東)
353,KC98E3716,三民一分局,十全所,安生里,民族一路與自忠街口(向西)
354,KC98E3717,三民一分局,十全所,安生里,山東街與察哈爾一街口(向南)
